principal analysis set accession	annotation file accession	lab	pseudobulking status	processed date	missing annotations columns	uniform pipeline status
IGVFDS3399QDGG	IGVFFI6857RJWB	/labs/jason-buenrostro/	unattempted			completed
IGVFDS6202YZSP	IGVFFI9462GMVH	/labs/jimmie-ye/	needs-fix	2026-06-20T18:32:13.995378+00:00		UNKNOWN
IGVFDS5851LHUQ	IGVFFI5132ETMH	/labs/ansuman-satpathy/	needs-fix	2026-06-04T00:47:35.196353+00:00	CL_id,cell_name,CL_term_name,analysis_set_accession,barcode_sample,subsample,cell_description	UNKNOWN
IGVFDS0826NQIY	IGVFFI9060FGBM	/labs/jason-buenrostro/	unattempted			completed
IGVFDS7602RWUO	IGVFFI7847AKCP	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS2860EOJR	IGVFFI5518XIVO	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS6214ILUX	IGVFFI0935LXCL	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS0941XTMV	IGVFFI9969SUMI	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS1398QNYM	IGVFFI3722CEQI	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS8014GBWY	IGVFFI4932LJLD	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS6450GKPC	IGVFFI6755PDWZ	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS4334FYGG	IGVFFI5777SUBK	/labs/ali-mortazavi/	unattempted			completed
IGVFDS9737RGCR	IGVFFI4502VYOZ	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS9172HIDP	IGVFFI9334KMRH	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS9996PAXJ	IGVFFI1350WPAF	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS0655HIUQ	IGVFFI6117VWCO	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS6964ONRI	IGVFFI7175VNJQ	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS6769YFHC	IGVFFI8345CCJJ	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS3086HGWC	IGVFFI9510ARDG	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS0832CGJG	IGVFFI0183EFVP	/labs/ali-mortazavi/	unattempted			completed
IGVFDS0838VDJL	IGVFFI7875QSQQ	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS0843YOAA	IGVFFI3427RAOY	/labs/ali-mortazavi/	unattempted			completed
IGVFDS5179IFWU	IGVFFI4840XYKK	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS6501PVZQ	IGVFFI0412JJWO	/labs/chongyuan-luo/	unattempted			UNKNOWN
IGVFDS2498KJEU	IGVFFI1824ZMRP	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS8932PEQX	IGVFFI0943VPXW	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS4424DTEF	IGVFFI0464TRFQ	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS0442AENH	IGVFFI1908RCQV	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS8631DFND	IGVFFI6409CNGB	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS7394AAGD	IGVFFI8289BJRY	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS8664PDWB	IGVFFI8889JCIP	/labs/ali-mortazavi/	unattempted			completed
IGVFDS8679RRIH	IGVFFI0906TLOU	/labs/ali-mortazavi/	unattempted			completed
IGVFDS8284BSZG	IGVFFI8414PKIF	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS9791FRSA	IGVFFI4429RYUE	/labs/ali-mortazavi/	unattempted			completed
IGVFDS1501HOLD	IGVFFI5739KSXC	/labs/ali-mortazavi/	unattempted			completed
IGVFDS7954KJOR	IGVFFI0507HKYO	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS4969YLBP	IGVFFI8489OAFA	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS1730LSSC	IGVFFI4295JBDU	/labs/ali-mortazavi/	unattempted			completed
IGVFDS7117XBDB	IGVFFI5219JBPF	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS9591BXBF	IGVFFI2845OJZK	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS0725VPPY	IGVFFI0974CAJC	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS1495PLMC	IGVFFI6442FUPF	/labs/ali-mortazavi/	unattempted			completed
IGVFDS1546BNRN	IGVFFI4734MDDU	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS4299TLCR	IGVFFI6581APAR	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS4400TRDW	IGVFFI9717SCIO	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS5648JDXU	IGVFFI4433PAYQ	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS4713UBOF	IGVFFI5493OTGP	/labs/ali-mortazavi/	unattempted			completed
IGVFDS0099OALZ	IGVFFI5686LHZR	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS2562ANNT	IGVFFI8894EDFV	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS6036IADA	IGVFFI4158VPUZ	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS3131IIRZ	IGVFFI1185WGUN	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS0677TKYF	IGVFFI7646DTBS	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS2450ZHAQ	IGVFFI8203AGOJ	/labs/ali-mortazavi/	unattempted			completed
IGVFDS6484FJCD	IGVFFI9426BSPP	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS3445MTOM	IGVFFI9318XOBL	/labs/jesse-engreitz/	unattempted			completed
IGVFDS3991XZSR	IGVFFI3472OHMA	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS2782FHBR	IGVFFI5426YRYL	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS6345NGBL	IGVFFI0954PHHW	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS7330WOFO	IGVFFI4619XPFH	/labs/jason-buenrostro/	unattempted			completed
IGVFDS7050RHRB	IGVFFI2668SUXN	/labs/ryan-corces/	unattempted			UNKNOWN
IGVFDS9549VQYG	IGVFFI8730JOIQ	/labs/ryan-corces/	unattempted			UNKNOWN
